OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.163	urn:cts:greekLit:tlg0012.tlg001.msA:2.106
urn:cite:hmt:venAsign.164	urn:cts:greekLit:tlg0012.tlg001.msA:2.107
urn:cite:hmt:venAsign.165	urn:cts:greekLit:tlg0012.tlg001.msA:2.108
urn:cite:hmt:venAsign.166	urn:cts:greekLit:tlg0012.tlg001.msA:2.109
urn:cite:hmt:venAsign.167	urn:cts:greekLit:tlg0012.tlg001.msA:2.110
urn:cite:hmt:venAsign.168	urn:cts:greekLit:tlg0012.tlg001.msA:2.111
urn:cite:hmt:venAsign.169	urn:cts:greekLit:tlg0012.tlg001.msA:2.115
urn:cite:hmt:venAsign.170	urn:cts:greekLit:tlg0012.tlg001.msA:2.116
urn:cite:hmt:venAsign.171	urn:cts:greekLit:tlg0012.tlg001.msA:2.116
urn:cite:hmt:venAsign.172	urn:cts:greekLit:tlg0012.tlg001.msA:2.119
urn:cite:hmt:venAsign.173	urn:cts:greekLit:tlg0012.tlg001.msA:2.122
urn:cite:hmt:venAsign.174	urn:cts:greekLit:tlg0012.tlg001.msA:2.124
urn:cite:hmt:venAsign.175	urn:cts:greekLit:tlg0012.tlg001.msA:2.125
urn:cite:hmt:venAsign.176	urn:cts:greekLit:tlg0012.tlg001.msA:2.130
urn:cite:hmt:venAsign.177	urn:cts:greekLit:tlg0012.tlg001.msA:2.131
urn:cite:hmt:venAsign.178	urn:cts:greekLit:tlg0012.tlg001.msA:2.132
urn:cite:hmt:venAsign.179	urn:cts:greekLit:tlg0012.tlg001.msA:2.133
urn:cite:hmt:venAsign.180	urn:cts:greekLit:tlg0012.tlg001.msA:2.143
urn:cite:hmt:venAsign.181	urn:cts:greekLit:tlg0012.tlg001.msA:2.144
urn:cite:hmt:venAsign.182	urn:cts:greekLit:tlg0012.tlg001.msA:2.148
urn:cite:hmt:venAsign.183	urn:cts:greekLit:tlg0012.tlg001.msA:2.160
urn:cite:hmt:venAsign.184	urn:cts:greekLit:tlg0012.tlg001.msA:2.160
urn:cite:hmt:venAsign.185	urn:cts:greekLit:tlg0012.tlg001.msA:2.161
urn:cite:hmt:venAsign.186	urn:cts:greekLit:tlg0012.tlg001.msA:2.161
urn:cite:hmt:venAsign.187	urn:cts:greekLit:tlg0012.tlg001.msA:2.161
urn:cite:hmt:venAsign.188	urn:cts:greekLit:tlg0012.tlg001.msA:2.162
urn:cite:hmt:venAsign.189	urn:cts:greekLit:tlg0012.tlg001.msA:2.164
urn:cite:hmt:venAsign.190	urn:cts:greekLit:tlg0012.tlg001.msA:2.162
urn:cite:hmt:venAsign.191	urn:cts:greekLit:tlg0012.tlg001.msA:2.164
urn:cite:hmt:venAsign.192	urn:cts:greekLit:tlg0012.tlg001.msA:2.167
urn:cite:hmt:venAsign.193	urn:cts:greekLit:tlg0012.tlg001.msA:2.176
urn:cite:hmt:venAsign.194	urn:cts:greekLit:tlg0012.tlg001.msA:2.177
urn:cite:hmt:venAsign.195	urn:cts:greekLit:tlg0012.tlg001.msA:2.178
urn:cite:hmt:venAsign.196	urn:cts:greekLit:tlg0012.tlg001.msA:2.180
urn:cite:hmt:venAsign.197	urn:cts:greekLit:tlg0012.tlg001.msA:2.184
urn:cite:hmt:venAsign.198	urn:cts:greekLit:tlg0012.tlg001.msA:2.186
urn:cite:hmt:venAsign.199	urn:cts:greekLit:tlg0012.tlg001.msA:2.187
urn:cite:hmt:venAsign.200	urn:cts:greekLit:tlg0012.tlg001.msA:2.188
urn:cite:hmt:venAsign.201	urn:cts:greekLit:tlg0012.tlg001.msA:2.189
urn:cite:hmt:venAsign.202	urn:cts:greekLit:tlg0012.tlg001.msA:2.192
urn:cite:hmt:venAsign.203	urn:cts:greekLit:tlg0012.tlg001.msA:2.193
urn:cite:hmt:venAsign.204	urn:cts:greekLit:tlg0012.tlg001.msA:2.194
urn:cite:hmt:venAsign.205	urn:cts:greekLit:tlg0012.tlg001.msA:2.195
urn:cite:hmt:venAsign.206	urn:cts:greekLit:tlg0012.tlg001.msA:2.196
urn:cite:hmt:venAsign.207	urn:cts:greekLit:tlg0012.tlg001.msA:2.196
urn:cite:hmt:venAsign.208	urn:cts:greekLit:tlg0012.tlg001.msA:2.197
urn:cite:hmt:venAsign.209	urn:cts:greekLit:tlg0012.tlg001.msA:2.203
urn:cite:hmt:venAsign.210	urn:cts:greekLit:tlg0012.tlg001.msA:2.204
urn:cite:hmt:venAsign.211	urn:cts:greekLit:tlg0012.tlg001.msA:2.205
urn:cite:hmt:venAsign.212	urn:cts:greekLit:tlg0012.tlg001.msA:2.217
urn:cite:hmt:venAsign.213	urn:cts:greekLit:tlg0012.tlg001.msA:2.220
urn:cite:hmt:venAsign.214	urn:cts:greekLit:tlg0012.tlg001.msA:2.226
urn:cite:hmt:venAsign.215	urn:cts:greekLit:tlg0012.tlg001.msA:2.227
urn:cite:hmt:venAsign.216	urn:cts:greekLit:tlg0012.tlg001.msA:2.229
urn:cite:hmt:venAsign.217	urn:cts:greekLit:tlg0012.tlg001.msA:2.231
urn:cite:hmt:venAsign.218	urn:cts:greekLit:tlg0012.tlg001.msA:2.238
urn:cite:hmt:venAsign.219	urn:cts:greekLit:tlg0012.tlg001.msA:2.239
