Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.148,"urn:cite:hmt:vaimg.VA014VN_0516@0.474,0.6329,0.383,0.036"
urn:cts:greekLit:tlg0012.tlg001.msA:1.149,"urn:cite:hmt:vaimg.VA014VN_0516@0.482,0.6569,0.344,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.150,"urn:cite:hmt:vaimg.VA014VN_0516@0.485,0.6764,0.348,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.151,"urn:cite:hmt:vaimg.VA015RN_0016@0.183,0.2209,0.331,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.152,"urn:cite:hmt:vaimg.VA015RN_0016@0.182,0.2434,0.331,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.153,"urn:cite:hmt:vaimg.VA015RN_0016@0.187,0.2592,0.331,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.154,"urn:cite:hmt:vaimg.VA015RN_0016@0.184,0.2787,0.36,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.155,"urn:cite:hmt:vaimg.VA015RN_0016@0.179,0.2975,0.328,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.156,"urn:cite:hmt:vaimg.VA015RN_0016@0.18,0.3156,0.387,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:1.157,"urn:cite:hmt:vaimg.VA015RN_0016@0.178,0.3351,0.315,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.158,"urn:cite:hmt:vaimg.VA015RN_0016@0.177,0.3531,0.365,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:1.159,"urn:cite:hmt:vaimg.VA015RN_0016@0.177,0.3764,0.335,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.160,"urn:cite:hmt:vaimg.VA015RN_0016@0.174,0.3952,0.35,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.161,"urn:cite:hmt:vaimg.VA015RN_0016@0.178,0.4117,0.35,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.162,"urn:cite:hmt:vaimg.VA015RN_0016@0.177,0.4282,0.357,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:1.163,"urn:cite:hmt:vaimg.VA015RN_0016@0.179,0.45,0.337,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.164,"urn:cite:hmt:vaimg.VA015RN_0016@0.178,0.4718,0.352,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.165,"urn:cite:hmt:vaimg.VA015RN_0016@0.178,0.4906,0.3,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.166,"urn:cite:hmt:vaimg.VA015RN_0016@0.174,0.5109,0.388,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.167,"urn:cite:hmt:vaimg.VA015RN_0016@0.175,0.5274,0.355,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.168,"urn:cite:hmt:vaimg.VA015RN_0016@0.179,0.5447,0.371,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.169,"urn:cite:hmt:vaimg.VA015RN_0016@0.176,0.5642,0.352,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.170,"urn:cite:hmt:vaimg.VA015RN_0016@0.177,0.5838,0.335,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.171,"urn:cite:hmt:vaimg.VA015RN_0016@0.178,0.6018,0.359,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.172,"urn:cite:hmt:vaimg.VA015RN_0016@0.171,0.6206,0.359,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:1.173,"urn:cite:hmt:vaimg.VA015RN_0016@0.176,0.6379,0.374,0.0338"
